x,MeanCluster6,MeanCluster5,MeanCluster4,MeanCluster3,MeanCluster2,MeanCluster1
0.664,0.3841,0.45403,0.37074,0.3188375,0.247088889,0.1771
0.665,0.3849,0.45478,0.371424,0.319375,0.2476,0.1775
0.666,0.3857,0.45551,0.37212,0.32,0.248122222,0.178
0.667,0.3864,0.45629,0.3728,0.320675,0.248655556,0.1787
0.668,0.3868,0.45694,0.373432,0.321325,0.249255556,0.1792
0.669,0.38735,0.45762,0.374052,0.3219375,0.249822222,0.1796
0.67,0.38805,0.45834,0.374684,0.3225375,0.250355556,0.1798
0.671,0.389,0.45922,0.37542,0.3233,0.250966667,0.1805
0.672,0.3898,0.45996,0.376096,0.324025,0.251544444,0.1811
0.673,0.39055,0.46068,0.37678,0.3246875,0.252155556,0.1816
0.674,0.3912,0.46143,0.37758,0.3253,0.252733333,0.1818
0.675,0.3919,0.46223,0.378288,0.3260125,0.253333333,0.1825
0.676,0.39275,0.46306,0.379,0.3267375,0.253933333,0.1831
0.677,0.3937,0.46403,0.379732,0.3274625,0.254533333,0.1833
0.678,0.3945,0.46479,0.38052,0.32815,0.255266667,0.1839
0.679,0.3952,0.46555,0.3813,0.3288875,0.255911111,0.1844
0.68,0.3958,0.46636,0.38208,0.329675,0.256477778,0.185
0.681,0.39675,0.46733,0.382816,0.3305875,0.257133333,0.1857
0.682,0.39775,0.46823,0.38352,0.3312,0.257844444,0.1861
0.683,0.3987,0.46907,0.384248,0.3317375,0.258477778,0.1865
0.684,0.39935,0.46975,0.385,0.3324375,0.259044444,0.187
0.685,0.40005,0.4706,0.385848,0.33335,0.259644444,0.1877
0.686,0.4007,0.47146,0.386668,0.334225,0.260266667,0.1884
0.687,0.40145,0.47232,0.387428,0.3349375,0.260877778,0.1886
0.688,0.40255,0.47324,0.388152,0.3354625,0.261577778,0.189
0.689,0.4035,0.47416,0.38884,0.3361875,0.262188889,0.1895
0.69,0.4042,0.47504,0.389544,0.337075,0.262722222,0.1902
0.691,0.405,0.4759,0.390424,0.3379875,0.263377778,0.1905
0.692,0.4059,0.47671,0.391248,0.3387,0.264011111,0.1909
0.693,0.4067,0.47748,0.392036,0.339325,0.264655556,0.1915
0.694,0.40735,0.47836,0.392732,0.3401,0.265233333,0.1922
0.695,0.40825,0.47924,0.393532,0.3408625,0.265922222,0.1926
0.696,0.40925,0.48016,0.394368,0.3416125,0.266577778,0.1931
0.697,0.4103,0.48103,0.395192,0.34245,0.267166667,0.1937
0.698,0.411,0.48194,0.395956,0.343325,0.267855556,0.1942
0.699,0.4117,0.48287,0.396712,0.344175,0.268488889,0.1947
0.7,0.4124,0.4838,0.397472,0.3449875,0.269077778,0.1951
0.701,0.41325,0.48459,0.398208,0.345575,0.269755556,0.1955
0.702,0.41405,0.4854,0.398996,0.34625,0.270488889,0.196
0.703,0.4149,0.48617,0.399788,0.3470625,0.271133333,0.1964
0.704,0.41565,0.48704,0.400528,0.347975,0.271588889,0.197
0.705,0.4165,0.4879,0.401304,0.3487875,0.272155556,0.1975
0.706,0.4174,0.48872,0.402072,0.3495375,0.272822222,0.198
0.707,0.4183,0.48953,0.4028,0.3501375,0.273711111,0.1985
0.708,0.4191,0.49028,0.403504,0.3509125,0.274277778,0.199
0.709,0.4198,0.49109,0.4042,0.351725,0.274811111,0.1995
0.71,0.42045,0.49191,0.404888,0.3525125,0.275355556,0.2001
0.711,0.42135,0.49273,0.4056,0.3532375,0.276066667,0.2006
0.712,0.42205,0.49353,0.406328,0.3539125,0.276755556,0.2011
0.713,0.4226,0.49428,0.407064,0.35455,0.2774,0.2015
0.714,0.42335,0.49503,0.407744,0.3553125,0.277911111,0.202
0.715,0.42415,0.49578,0.408456,0.3561,0.278522222,0.2025
0.716,0.42495,0.49653,0.40916,0.3568125,0.2792,0.2029
0.717,0.42575,0.49737,0.409872,0.3574625,0.279933333,0.2035
0.718,0.4263,0.49809,0.41052,0.3581125,0.280477778,0.204
0.719,0.42705,0.49883,0.411176,0.358875,0.281011111,0.2045
0.72,0.428,0.49962,0.411888,0.3597,0.2816,0.205
0.721,0.42875,0.5004,0.412588,0.3604,0.282322222,0.2054
0.722,0.4294,0.50114,0.413264,0.361025,0.282966667,0.2058
0.723,0.43,0.5018,0.413884,0.361625,0.283577778,0.2063
0.724,0.4308,0.50258,0.414576,0.3624125,0.284111111,0.2069
0.725,0.43155,0.50334,0.415256,0.3631875,0.284722222,0.2075
0.726,0.4323,0.50406,0.415916,0.3638625,0.285377778,0.208
0.727,0.4328,0.50473,0.416548,0.364425,0.286011111,0.2084
0.728,0.43345,0.50537,0.41714,0.36505,0.286588889,0.2088
0.729,0.43415,0.50604,0.41776,0.3657,0.287111111,0.2093
0.73,0.43495,0.50673,0.418456,0.3664375,0.287655556,0.2098
