x,01_Soil,02_Dry_bush,03_Soil,04_Very_green_bush,05_Soil_with_crust,06_Soil_without_crust,07_Desert_pink_flowers,08_Brown_thorns,09_Very_dry_grass,10_Mix_of_soil_and_crust,11_Dense_desert_pink_flowers,12_Soil_with_crust,13_Rock_and_stones,14_Small_stones,15_Green-light_blue_bush,16_Very_dry_grass,17_Greenish_thorns,18_Bush,19_Sparse_dry_grass,20_Soil_with_crust,21_Acacia
0.4771 ,0.108700000,0.114900000,0.291900000,0.086100000,0.284966667,0.218550000,0.144833333,0.084133333,0.122400000,0.234733333,0.093233333,0.290000000,0.299525000,0.464675000,0.093500000,0.095800000,0.086533333,0.140450000,0.139733333,0.264233333,0.076640000
0.4785 ,0.109566667,0.115350000,0.293100000,0.086466667,0.286100000,0.219650000,0.145700000,0.084700000,0.123533333,0.235900000,0.093766667,0.291266667,0.300750000,0.465450000,0.093733333,0.096633333,0.086700000,0.141050000,0.141033333,0.265333333,0.076940000
0.4800 ,0.110366667,0.115775000,0.294233333,0.086833333,0.287166667,0.220675000,0.146566667,0.085266667,0.124533333,0.236933333,0.094300000,0.292433333,0.301900000,0.466225000,0.094000000,0.097333333,0.086766667,0.141650000,0.142266667,0.266433333,0.077240000
0.4814 ,0.111233333,0.116275000,0.295433333,0.087200000,0.288300000,0.221800000,0.147433333,0.085833333,0.125633333,0.238200000,0.094833333,0.293700000,0.303125000,0.467025000,0.094200000,0.098100000,0.086866667,0.142275000,0.143566667,0.267600000,0.077560000
0.4828 ,0.112033333,0.116700000,0.296700000,0.087533333,0.289500000,0.222950000,0.148266667,0.086366667,0.126733333,0.239433333,0.095366667,0.295066667,0.304400000,0.467775000,0.094433333,0.098866667,0.086933333,0.142900000,0.144833333,0.268800000,0.077880000
0.4842 ,0.112733333,0.117025000,0.297766667,0.087833333,0.290500000,0.223975000,0.148966667,0.086800000,0.127666667,0.240566667,0.095866667,0.296333333,0.305625000,0.468450000,0.094600000,0.099500000,0.086966667,0.143425000,0.146000000,0.269766667,0.078140000
0.4857 ,0.113866667,0.117750000,0.299666667,0.088400000,0.292400000,0.225650000,0.150300000,0.087633333,0.129133333,0.242233333,0.096633333,0.298166667,0.307350000,0.469825000,0.095033333,0.100500000,0.087166667,0.144325000,0.147633333,0.271566667,0.078660000
0.4871 ,0.114966667,0.118375000,0.301400000,0.088966667,0.294266667,0.227300000,0.151633333,0.088433333,0.130466667,0.243800000,0.097366667,0.299766667,0.308950000,0.471225000,0.095433333,0.101466667,0.087366667,0.145200000,0.149300000,0.273466667,0.079160000
0.4885 ,0.116033333,0.119025000,0.303200000,0.089500000,0.296033333,0.228875000,0.152866667,0.089200000,0.131766667,0.245333333,0.098033333,0.301366667,0.310400000,0.472625000,0.095800000,0.102400000,0.087566667,0.146075000,0.150900000,0.275266667,0.079620000
0.4900 ,0.116633333,0.119350000,0.304300000,0.089733333,0.296966667,0.229900000,0.153400000,0.089600000,0.132566667,0.246433333,0.098433333,0.302500000,0.311475000,0.473200000,0.095933333,0.102966667,0.087600000,0.146575000,0.151933333,0.276266667,0.079940000
0.4914 ,0.117566667,0.119925000,0.306100000,0.090200000,0.298500000,0.231400000,0.154500000,0.090233333,0.133666667,0.248033333,0.099100000,0.304233333,0.313150000,0.474200000,0.096233333,0.103766667,0.087800000,0.147350000,0.153333333,0.277800000,0.080380000
0.4928 ,0.118533333,0.120525000,0.307866667,0.090666667,0.300233333,0.232950000,0.155566667,0.090933333,0.134800000,0.249633333,0.099733333,0.305933333,0.314800000,0.475400000,0.096600000,0.104600000,0.088033333,0.148175000,0.154766667,0.279433333,0.080980000
0.4942 ,0.119500000,0.121100000,0.309733333,0.091233333,0.301966667,0.234600000,0.156733333,0.091600000,0.136000000,0.251333333,0.100466667,0.307700000,0.316450000,0.476625000,0.096966667,0.105466667,0.088333333,0.149000000,0.156266667,0.281200000,0.081560000
0.4956 ,0.120333333,0.121600000,0.311366667,0.091700000,0.303533333,0.236075000,0.157666667,0.092200000,0.137066667,0.252900000,0.101100000,0.309333333,0.317950000,0.477700000,0.097333333,0.106233333,0.088633333,0.149750000,0.157633333,0.282766667,0.082160000
