 x , Cluster6 , Cluster5 , Cluster4 , Cluster3 , Cluster2 , Cluster1 
0.9575,0.584528249,0.516314922,0.485093119,0.447760171,0.358147434,0.271529945
0.96,0.584860105,0.516743577,0.485222396,0.448234008,0.358260833,0.271923043
0.9625,0.585040875,0.517114707,0.485662187,0.44877889,0.358624133,0.272513222
0.965,0.585139865,0.51736406,0.486245777,0.449503888,0.35899775,0.273484468
0.9675,0.585291006,0.517614096,0.486639138,0.450319257,0.359387058,0.27458456
0.97,0.585913776,0.518083328,0.487282997,0.45107647,0.359905065,0.27542877
0.9725,0.587541058,0.519170986,0.488965982,0.451882407,0.360712423,0.276156231
0.975,0.589910448,0.521316522,0.49141997,0.452987581,0.361974817,0.277189638
0.9775,0.591915416,0.523887176,0.493260687,0.454381552,0.36348725,0.278546517
0.98,0.593091053,0.525421725,0.494105935,0.455729032,0.36475609,0.279916513
0.9825,0.593629386,0.525695027,0.494579421,0.456863055,0.365649403,0.281115473
0.985,0.593839251,0.525880204,0.495083397,0.457751771,0.366447292,0.28211058
0.9875,0.594145556,0.526555585,0.49567644,0.458421367,0.367337704,0.282848538
0.99,0.594707515,0.527270279,0.496343311,0.458982904,0.368332584,0.283233343
0.9925,0.595188103,0.527702462,0.496977129,0.45951595,0.369344001,0.283370337
0.995,0.5954046,0.527995729,0.497511681,0.460016967,0.370101961,0.283804699
0.9975,0.595701086,0.528325623,0.498009057,0.460499258,0.370480501,0.284847882
1,0.596344841,0.528781842,0.498529525,0.461059991,0.370862991,0.285928044
1.0025,0.59702263,0.529403952,0.499053402,0.461781395,0.371594375,0.286485223
1.005,0.597405603,0.530083463,0.499556261,0.462611062,0.372430482,0.286741837
1.0075,0.597776353,0.530686561,0.50008425,0.463458201,0.373034961,0.287075874
1.01,0.598542265,0.53117502,0.500695672,0.464221772,0.373506325,0.287497695
1.0125,0.599533127,0.53155773,0.501364885,0.464813761,0.374086201,0.287900177
1.015,0.600343924,0.531935883,0.502031291,0.465306218,0.374766639,0.288420113
1.0175,0.600951752,0.532452432,0.50268013,0.465852446,0.37541337,0.289302136
1.02,0.601571822,0.533122255,0.503326047,0.466511663,0.376047182,0.290411057
1.0225,0.602242857,0.533861228,0.503977783,0.467269359,0.376800205,0.291334982
1.025,0.602847959,0.534547499,0.504638009,0.468068241,0.377623856,0.291967048
1.0275,0.603440542,0.535026645,0.505296429,0.468809637,0.378282507,0.292524455
1.03,0.604285781,0.535352243,0.505927727,0.469461542,0.378757636,0.293155466
1.0325,0.605397472,0.535877076,0.506551516,0.470090343,0.379353769,0.293887069
1.035,0.606343322,0.536712254,0.507264624,0.470740798,0.380181381,0.29469067
1.0375,0.606884932,0.537440609,0.508084582,0.471399303,0.380913966,0.295445546
1.04,0.607344203,0.537808988,0.508823781,0.472051934,0.381333294,0.296087835
1.0425,0.608027013,0.538202403,0.509355377,0.472703351,0.381671909,0.296744517
1.045,0.608912823,0.538959457,0.509856805,0.473358326,0.382161765,0.297522882
1.0475,0.60989452,0.539781363,0.510505675,0.474008961,0.382714549,0.298316152
1.05,0.610777833,0.540292898,0.511170348,0.474649477,0.383201351,0.298996482
1.0525,0.611386664,0.540611568,0.511673842,0.475305103,0.38372803,0.299628384
1.055,0.611859437,0.541010113,0.512179848,0.476000084,0.384454249,0.300332874
1.0575,0.612444863,0.541563372,0.512954084,0.476653647,0.385271904,0.301118409
1.06,0.613125943,0.54223836,0.513789723,0.477150909,0.385950579,0.301935989
1.0625,0.613733948,0.542911848,0.514229934,0.477634011,0.386448282,0.302738475
1.065,0.614241025,0.543407093,0.514398843,0.47840947,0.386855972,0.303517749
1.0675,0.614736409,0.543761253,0.514887939,0.479394888,0.387240808,0.304294842
1.07,0.615259563,0.544215648,0.51575202,0.480133583,0.387644516,0.304994886
1.0725,0.615789165,0.544789642,0.516422188,0.480501265,0.388129321,0.305435789
1.075,0.616311361,0.545195519,0.516671425,0.480838546,0.388785309,0.305643334
1.0775,0.616829303,0.545320629,0.51686429,0.481348533,0.38959649,0.305979078
1.08,0.617348096,0.545417119,0.517243741,0.481918634,0.390346462,0.306627034
1.0825,0.617873855,0.545664773,0.51767149,0.482448025,0.390896626,0.307316483
1.085,0.618405221,0.545951113,0.518033408,0.482956086,0.391368219,0.307836311
1.0875,0.618917139,0.546175743,0.518448312,0.48347322,0.391883566,0.308349131
1.09,0.619375155,0.546458968,0.519038277,0.483998728,0.392412912,0.309016448
1.0925,0.619723301,0.546929754,0.51973744,0.484524784,0.392889653,0.309669855
1.095,0.619933206,0.547486541,0.52043522,0.48504423,0.393239747,0.310102615
1.0975,0.620194957,0.547966279,0.521072235,0.485553501,0.393408275,0.31045892
1.1,0.620747007,0.548330275,0.521618134,0.486075602,0.393510875,0.310994346
1.1025,0.621451623,0.548602429,0.522125527,0.486637994,0.393732215,0.311685938
1.105,0.621981575,0.548850027,0.522683391,0.487170524,0.394115135,0.312357854
1.1075,0.622332767,0.549164829,0.523228274,0.487550598,0.39460852,0.312884768
1.11,0.622746345,0.549562388,0.523586663,0.487889656,0.39515959,0.313186372
1.1125,0.623284349,0.549988637,0.523803381,0.488503167,0.395715564,0.31329983
1.115,0.623813034,0.550392605,0.52415505,0.489361151,0.396236468,0.313386008
1.1175,0.624303692,0.550731519,0.524707319,0.489995977,0.396755036,0.313590524
1.12,0.62489502,0.551057205,0.525200546,0.490236218,0.397324157,0.314026955
1.1225,0.625604047,0.551583689,0.525536968,0.490469812,0.397951053,0.314691725
1.125,0.626172221,0.552385995,0.526002215,0.490961826,0.398620201,0.315347378
1.1275,0.626446235,0.553163643,0.526774533,0.491545414,0.399301357,0.315846376
1.13,0.626673152,0.553657541,0.527587723,0.492059331,0.39992232,0.316382708
1.1325,0.627102532,0.553943492,0.528180478,0.492582642,0.400439424,0.31713317
1.135,0.627697393,0.554164809,0.5286413,0.493213057,0.400958225,0.317950146
1.1375,0.6283534,0.554441676,0.529127419,0.493883558,0.401591138,0.318632645
